task,run,model,rmse,time,soft_wall_index,metadata
harmonic,1,Standard GP,0.8603124564145666,0.12230944633483887,0.0,"{'formula': 'tanh(sin(((x - ((x + x) + (x + -1.58))) - cos(hypot((((-8.88 + (x - x)) - (x + x)) + x), x)))))'}"
harmonic,1,Huber Regression,1.7259580727547303,0.0019464492797851562,0.0,"{'outliers': array([False, False, False, False, False,  True,  True,  True,  True,         True, False, False, False, False,  True,  True,  True,  True,         True,  True,  True,  True,  True, False, False,  True,  True,         True, False, False, False, False, False, False, False,  True,        False, False, False, False])}"
harmonic,1,Gaussian Process,0.7036350126342688,0.671459436416626,0.5398199860985915,"{'uncertainty': array([0.13723054, 0.25884408, 0.26094704, 0.33651714, 0.34704211,        0.68526132, 0.69681243, 0.82689383, 0.87482687, 0.97382449])}"
harmonic,1,Epistemic Director,0.6751437723470463,15.593744993209839,0.0,{'formula': 'sin(((x - cos((sin(x) + (x - 9.97)))) - sin(x)))'}
harmonic,2,Standard GP,1.8878877938183145,0.1239924430847168,0.0,"{'formula': 'sin(hypot(((x + -1.26) - abs(x)), -2.17))'}"
harmonic,2,Huber Regression,1.8046820390523153,0.002421855926513672,0.0,"{'outliers': array([False, False, False, False, False, False,  True, False,  True,         True, False, False, False,  True,  True,  True,  True,  True,         True,  True, False, False, False,  True,  True, False, False,        False, False,  True, False, False, False, False, False, False,         True,  True, False, False])}"
harmonic,2,Gaussian Process,1.1773513545524188,0.7889018058776855,0.5393884355138951,"{'uncertainty': array([0.19117781, 0.24620142, 0.29118796, 0.29210763, 0.29691263,        0.63672311, 0.73442431, 0.83222682, 0.852188  , 1.02073468])}"
harmonic,2,Epistemic Director,1.375221445256291,0.5109865665435791,0.0,{'formula': 'sin(((sin((x + abs(cos(-6.23)))) + -2.25) - cos((x + -8.79))))'}
harmonic,3,Standard GP,0.7587223505409675,0.1135399341583252,0.0,{'formula': 'sin((sin((((x - x) - ((5.86 + x) - (x - -6.18))) + (sin((x - -6.93)) - tanh((x - x))))) + x))'}
harmonic,3,Huber Regression,1.4720645138454482,0.002380847930908203,0.0,"{'outliers': array([False, False, False, False, False, False, False,  True, False,         True,  True, False, False, False,  True,  True,  True,  True,         True,  True,  True,  True,  True, False, False, False, False,        False, False,  True,  True,  True, False, False, False, False,        False, False, False, False])}"
harmonic,3,Gaussian Process,1.5232170659654631,0.6191494464874268,0.9514741769678322,"{'uncertainty': array([0.51998588, 0.57367178, 0.66082361, 0.80718893, 0.80951385,        1.01762805, 1.18729204, 1.30428525, 1.31652891, 1.31782347])}"
harmonic,3,Epistemic Director,1.2960598519577033,0.4976937770843506,0.0,"{'formula': 'sin((((x * 1.87) - (hypot(x, -4.20) + -2.51)) - hypot(x, -21.03)))'}"
harmonic,4,Standard GP,1.7726665513152342,0.11019182205200195,0.0,"{'formula': 'sin((hypot(2.26, x) - x))'}"
harmonic,4,Huber Regression,1.7034353269614417,0.002185344696044922,0.0,"{'outliers': array([False, False, False, False, False, False, False, False, False,        False,  True,  True,  True,  True, False, False, False, False,         True,  True,  True,  True,  True,  True,  True,  True,  True,        False, False, False, False,  True,  True, False, False, False,        False, False, False,  True])}"
harmonic,4,Gaussian Process,1.9665557736807007,1.0993857383728027,0.9796309836634596,"{'uncertainty': array([0.22474142, 0.34654979, 0.84215606, 0.87651472, 1.1314414 ,        1.15509157, 1.24673865, 1.3064502 , 1.32784514, 1.33878089])}"
harmonic,4,Epistemic Director,0.37000434644039626,15.722465753555298,0.0,{'formula': '(cos((sin(-122.14) - (((x - -0.72) + x) + sin(cos(2.13))))) - ((x - sin(x)) - x))'}
